Gene	Gene name	Cancer	High	Medium	Low	Not detected	prognostic - favorable	unprognostic - favorable	prognostic - unfavorable	unprognostic - unfavorable
ENSG00000000003	TSPAN6	liver cancer	4.0	5.0	1.0	0.0		0.104		
ENSG00000000005	TNMD	liver cancer	4.0	4.0	3.0	1.0				0.2419
ENSG00000000419	DPM1	liver cancer	2.0	9.0	0.0	0.0			1.941e-06	
ENSG00000000457	SCYL3	liver cancer	0.0	2.0	2.0	7.0				0.1312
ENSG00000000460	C1orf112	liver cancer	0.0	8.0	0.0	1.0				0.002502
ENSG00000000938	FGR	liver cancer	0.0	1.0	8.0	0.0				0.05769
ENSG00000000971	CFH	liver cancer	0.0	0.0	1.0	11.0		0.003747		
ENSG00000001036	FUCA2	liver cancer	1.0	2.0	2.0	6.0			2.696e-09	
ENSG00000001084	GCLC	liver cancer	8.0	4.0	0.0	0.0		0.2603		
ENSG00000001167	NFYA	liver cancer	0.0	9.0	1.0	2.0			0.0008744	
ENSG00000001461	NIPAL3	liver cancer	6.0	3.0	2.0	1.0				0.003717
ENSG00000001497	LAS1L	liver cancer	3.0	4.0	2.0	2.0				0.007152
ENSG00000001561	ENPP4	liver cancer	2.0	8.0	0.0	1.0				0.08125
ENSG00000001617	SEMA3F	liver cancer	3.0	2.0	2.0	5.0			0.000515	
ENSG00000001626	CFTR	liver cancer	0.0	2.0	0.0	9.0			0.0009439	
ENSG00000001629	ANKIB1	liver cancer	0.0	0.0	0.0	12.0				0.00488
ENSG00000001630	CYP51A1	liver cancer	0.0	0.0	0.0	11.0				0.1019
ENSG00000001631	KRIT1	liver cancer	0.0	0.0	0.0	12.0				0.004103
ENSG00000002330	BAD	liver cancer	2.0	7.0	1.0	0.0				0.001239
ENSG00000002549	LAP3	liver cancer	6.0	4.0	1.0	1.0		0.216		
ENSG00000002586	CD99	liver cancer	0.0	2.0	0.0	10.0				0.003887
ENSG00000002587	HS3ST1	liver cancer	0.0	0.0	5.0	5.0				0.4211
ENSG00000002726	AOC1	liver cancer	1.0	7.0	2.0	2.0				0.00907
ENSG00000002746	HECW1	liver cancer	0.0	2.0	5.0	4.0				0.0008653
ENSG00000002822	MAD1L1	liver cancer	2.0	6.0	2.0	2.0				0.02703
ENSG00000002834	LASP1	liver cancer	0.0	7.0	2.0	0.0			0.0002409	
ENSG00000002919	SNX11	liver cancer	5.0	5.0	1.0	0.0				0.002682
ENSG00000002933	TMEM176A	liver cancer	5.0	7.0	0.0	0.0				0.2514
ENSG00000003056	M6PR	liver cancer	5.0	7.0	0.0	0.0			0.0003889	
ENSG00000003096	KLHL13	liver cancer	1.0	3.0	5.0	3.0				0.07224
ENSG00000003137	CYP26B1	liver cancer	0.0	6.0	2.0	4.0				0.000217
ENSG00000003147	ICA1	liver cancer	0.0	0.0	4.0	8.0		0.01369		
ENSG00000003249	DBNDD1	liver cancer	3.0	3.0	5.0	0.0				0.1507
ENSG00000003393	ALS2	liver cancer	0.0	5.0	1.0	6.0				0.001044
ENSG00000003400	CASP10	liver cancer	0.0	2.0	6.0	2.0			0.0008536	
ENSG00000003402	CFLAR	liver cancer	1.0	7.0	1.0	0.0				0.07456
ENSG00000003436	TFPI	liver cancer	0.0	1.0	2.0	9.0		0.3054		
ENSG00000003509	NDUFAF7	liver cancer	7.0	4.0	0.0	1.0			0.0001479	
ENSG00000003756	RBM5	liver cancer	4.0	8.0	0.0	0.0			0.0009769	
ENSG00000004139	SARM1	liver cancer	0.0	3.0	2.0	7.0				0.1267
ENSG00000004399	PLXND1	liver cancer	3.0	2.0	2.0	1.0				0.06351
ENSG00000004455	AK2	liver cancer	9.0	2.0	0.0	0.0			0.0009321	
ENSG00000004468	CD38	liver cancer	0.0	0.0	1.0	10.0		0.2739		
ENSG00000004478	FKBP4	liver cancer	5.0	2.0	2.0	3.0			6.12e-05	
ENSG00000004487	KDM1A	liver cancer	0.0	0.0	4.0	7.0			4.468e-12	
ENSG00000004534	RBM6	liver cancer	2.0	2.0	3.0	5.0				0.01403
ENSG00000004660	CAMKK1	liver cancer	0.0	0.0	3.0	6.0		0.1978		
ENSG00000004700	RECQL	liver cancer	2.0	4.0	5.0	1.0				0.008968
ENSG00000004766	VPS50	liver cancer	0.0	5.0	4.0	3.0			7.208e-05	
ENSG00000004776	HSPB6	liver cancer	0.0	0.0	0.0	11.0				0.09666
ENSG00000004777	ARHGAP33	liver cancer	0.0	2.0	4.0	6.0				0.00361
ENSG00000004779	NDUFAB1	liver cancer	11.0	1.0	0.0	0.0				0.1218
ENSG00000004799	PDK4	liver cancer	1.0	4.0	5.0	1.0		0.001		
ENSG00000004809	SLC22A16	liver cancer	0.0	3.0	5.0	4.0				0.08153
ENSG00000004864	SLC25A13	liver cancer	6.0	5.0	1.0	0.0		0.01415		
ENSG00000004866	ST7	liver cancer	0.0	3.0	4.0	5.0		0.03322		
ENSG00000004897	CDC27	liver cancer	1.0	4.0	2.0	4.0			0.0004377	
ENSG00000004939	SLC4A1	liver cancer	0.0	0.0	0.0	11.0		0.1553		
ENSG00000004948	CALCR	liver cancer	0.0	0.0	7.0	4.0				7.726e-05
ENSG00000004961	HCCS	liver cancer	1.0	5.0	2.0	0.0			1.354e-05	
ENSG00000004975	DVL2	liver cancer	10.0	0.0	0.0	0.0			4.343e-06	
ENSG00000005001	PRSS22	liver cancer	0.0	0.0	0.0	10.0				0.0442
ENSG00000005007	UPF1	liver cancer	0.0	0.0	3.0	9.0				0.2086
ENSG00000005020	SKAP2	liver cancer	0.0	0.0	0.0	12.0				0.00107
ENSG00000005022	SLC25A5	liver cancer	1.0	6.0	3.0	0.0				0.02727
ENSG00000005059	MCUB	liver cancer	0.0	0.0	0.0	11.0				0.01696
ENSG00000005073	HOXA11	liver cancer	0.0	0.0	2.0	9.0				0.002818
ENSG00000005100	DHX33	liver cancer	2.0	1.0	3.0	6.0				0.01495
ENSG00000005102	MEOX1	liver cancer	0.0	8.0	1.0	1.0		0.1251		
ENSG00000005108	THSD7A	liver cancer	0.0	0.0	0.0	12.0				0.1439
ENSG00000005156	LIG3	liver cancer	2.0	3.0	3.0	4.0				0.02397
ENSG00000005175	RPAP3	liver cancer	3.0	8.0	0.0	0.0			2.009e-05	
ENSG00000005187	ACSM3	liver cancer	0.0	2.0	0.0	10.0		0.01416		
ENSG00000005189	REXO5	liver cancer	3.0	3.0	0.0	6.0				0.09147
ENSG00000005194	CIAPIN1	liver cancer	0.0	0.0	3.0	8.0				0.001407
ENSG00000005206	SPPL2B	liver cancer	4.0	2.0	2.0	3.0				0.1739
ENSG00000005238	ATOSB	liver cancer	5.0	6.0	0.0	1.0				0.007217
ENSG00000005243	COPZ2	liver cancer	2.0	4.0	3.0	1.0		0.02766		
ENSG00000005249	PRKAR2B	liver cancer	0.0	1.0	2.0	9.0		0.2763		
ENSG00000005302	MSL3	liver cancer	0.0	1.0	0.0	11.0			0.0004932	
ENSG00000005339	CREBBP	liver cancer	1.0	8.0	1.0	1.0				0.009592
ENSG00000005379	TSPOAP1	liver cancer	0.0	4.0	1.0	7.0				0.1236
ENSG00000005381	MPO	liver cancer	0.0	0.0	0.0	10.0				0.3225
ENSG00000005421	PON1	liver cancer	1.0	5.0	3.0	0.0	7.238e-07			
ENSG00000005436	GCFC2	liver cancer	1.0	0.0	2.0	8.0				0.02345
ENSG00000005448	WDR54	liver cancer	0.0	1.0	1.0	9.0				0.004096
ENSG00000005469	CROT	liver cancer	0.0	6.0	2.0	2.0		0.1843		
ENSG00000005471	ABCB4	liver cancer	1.0	5.0	1.0	3.0		0.002349		
ENSG00000005483	KMT2E	liver cancer	0.0	0.0	2.0	10.0				0.2202
ENSG00000005486	RHBDD2	liver cancer	0.0	0.0	0.0	12.0				0.01177
ENSG00000005700	IBTK	liver cancer	0.0	0.0	0.0	10.0		0.05932		
ENSG00000005801	ZNF195	liver cancer	0.0	3.0	9.0	0.0			3.528e-05	
ENSG00000005844	ITGAL	liver cancer	0.0	0.0	0.0	12.0		0.1632		
ENSG00000005882	PDK2	liver cancer	5.0	3.0	2.0	2.0		0.009799		
ENSG00000005884	ITGA3	liver cancer	4.0	1.0	0.0	6.0				0.008277
ENSG00000005889	ZFX	liver cancer	0.0	1.0	5.0	5.0				0.01811
ENSG00000005893	LAMP2	liver cancer	4.0	8.0	0.0	0.0		0.4838		
ENSG00000005961	ITGA2B	liver cancer	0.0	0.0	0.0	12.0				4.232e-05
ENSG00000005981	ASB4	liver cancer	0.0	0.0	0.0	11.0		0.1172		
ENSG00000006015	REX1BD	liver cancer	1.0	3.0	1.0	6.0		0.02518		
ENSG00000006016	CRLF1	liver cancer	2.0	2.0	6.0	2.0				0.1383
ENSG00000006025	OSBPL7	liver cancer	0.0	0.0	0.0	12.0				0.00205
ENSG00000006042	TMEM98	liver cancer	0.0	6.0	3.0	0.0			0.0008142	
ENSG00000006047	YBX2	liver cancer	0.0	0.0	0.0	12.0				0.2234
ENSG00000006062	MAP3K14	liver cancer	0.0	7.0	3.0	2.0				0.02701
ENSG00000006071	ABCC8	liver cancer	2.0	6.0	0.0	3.0				0.004456
ENSG00000006118	TMEM132A	liver cancer	0.0	1.0	3.0	8.0				0.004422
ENSG00000006125	AP2B1	liver cancer	0.0	8.0	3.0	1.0				0.001506
ENSG00000006194	ZNF263	liver cancer	0.0	5.0	6.0	1.0				0.06419
ENSG00000006210	CX3CL1	liver cancer	11.0	1.0	0.0	0.0				0.07116
ENSG00000006282	SPATA20	liver cancer	0.0	2.0	5.0	5.0		0.1556		
ENSG00000006283	CACNA1G	liver cancer	0.0	4.0	6.0	2.0				0.01469
ENSG00000006327	TNFRSF12A	liver cancer	0.0	0.0	4.0	7.0				0.007043
ENSG00000006432	MAP3K9	liver cancer	0.0	5.0	4.0	3.0				3.751e-05
ENSG00000006451	RALA	liver cancer	0.0	0.0	9.0	0.0			5.316e-05	
ENSG00000006453	BAIAP2L1	liver cancer	2.0	4.0	2.0	4.0				0.01425
ENSG00000006459	KDM7A	liver cancer	5.0	1.0	1.0	5.0		0.3997		
ENSG00000006530	AGK	liver cancer	3.0	8.0	0.0	0.0				0.02154
ENSG00000006534	ALDH3B1	liver cancer	2.0	5.0	3.0	2.0				0.007927
ENSG00000006555	TTC22	liver cancer	0.0	9.0	1.0	2.0			0.0007733	
ENSG00000006576	PHTF2	liver cancer	0.0	2.0	2.0	7.0				0.005355
ENSG00000006607	FARP2	liver cancer	1.0	10.0	0.0	1.0				0.01596
ENSG00000006611	USH1C	liver cancer	0.0	2.0	1.0	9.0			0.0002195	
ENSG00000006625	GGCT	liver cancer	9.0	3.0	0.0	0.0			0.0007227	
ENSG00000006652	IFRD1	liver cancer	1.0	5.0	3.0	3.0				0.005728
ENSG00000006695	COX10	liver cancer	11.0	1.0	0.0	0.0				0.1315
ENSG00000006704	GTF2IRD1	liver cancer	4.0	4.0	3.0	0.0				0.002707
ENSG00000006712	PAF1	liver cancer	0.0	3.0	2.0	7.0			0.0008679	
ENSG00000006715	VPS41	liver cancer	0.0	5.0	4.0	3.0				0.3222
ENSG00000006740	ARHGAP44	liver cancer	0.0	0.0	6.0	6.0				0.1832
ENSG00000006744	ELAC2	liver cancer	5.0	5.0	2.0	0.0		0.1653		
ENSG00000006747	SCIN	liver cancer	0.0	0.0	0.0	12.0				3.64e-05
ENSG00000006756	ARSD	liver cancer	11.0	0.0	0.0	0.0		0.1726		
ENSG00000006757	PNPLA4	liver cancer	0.0	8.0	1.0	1.0		0.3151		
ENSG00000006831	ADIPOR2	liver cancer	0.0	2.0	3.0	7.0		0.05333		
ENSG00000007038	PRSS21	liver cancer	0.0	0.0	2.0	10.0		0.1224		
ENSG00000007047	MARK4	liver cancer	0.0	3.0	4.0	4.0				0.19
ENSG00000007062	PROM1	liver cancer	2.0	0.0	2.0	7.0				0.2388
ENSG00000007080	CCDC124	liver cancer	3.0	4.0	1.0	1.0			0.0001684	
ENSG00000007129	CEACAM21	liver cancer	0.0	11.0	0.0	0.0				0.3042
ENSG00000007168	PAFAH1B1	liver cancer	0.0	1.0	4.0	6.0				0.0317
ENSG00000007171	NOS2	liver cancer	0.0	0.0	0.0	10.0		0.05607		
ENSG00000007174	DNAH9	liver cancer	0.0	0.0	0.0	12.0		0.2432		
ENSG00000007202	BLTP2	liver cancer	0.0	3.0	4.0	5.0			3.466e-05	
ENSG00000007216	SLC13A2	liver cancer	0.0	0.0	0.0	12.0		0.3064		
ENSG00000007237	GAS7	liver cancer	0.0	0.0	0.0	12.0				0.07318
ENSG00000007255	TRAPPC6A	liver cancer	6.0	3.0	2.0	1.0		0.01567		
ENSG00000007264	MATK	liver cancer	0.0	0.0	1.0	10.0				0.09501
ENSG00000007312	CD79B	liver cancer	0.0	0.0	0.0	12.0		0.182		
ENSG00000007341	ST7L	liver cancer	0.0	0.0	0.0	12.0				3.841e-06
ENSG00000007350	TKTL1	liver cancer	0.0	0.0	0.0	8.0				0.01359
ENSG00000007372	PAX6	liver cancer	0.0	0.0	0.0	12.0				0.2757
ENSG00000007376	RPUSD1	liver cancer	3.0	4.0	1.0	2.0				0.001068
ENSG00000007392	LUC7L	liver cancer	3.0	9.0	0.0	0.0				0.008011
ENSG00000007402	CACNA2D2	liver cancer	0.0	1.0	0.0	10.0		0.06913		
ENSG00000007516	BAIAP3	liver cancer	2.0	5.0	2.0	2.0				0.2247
ENSG00000007520	TSR3	liver cancer	5.0	5.0	0.0	0.0				0.01396
ENSG00000007541	PIGQ	liver cancer	0.0	4.0	3.0	3.0				0.09579
ENSG00000007545	CRAMP1	liver cancer	0.0	3.0	2.0	7.0				0.0005778
ENSG00000007866	TEAD3	liver cancer	1.0	1.0	6.0	3.0				0.01756
ENSG00000007908	SELE	liver cancer	0.0	0.0	0.0	10.0		0.1589		
ENSG00000007923	DNAJC11	liver cancer	1.0	1.0	0.0	10.0				0.004379
ENSG00000007933	FMO3	liver cancer	4.0	2.0	1.0	4.0	0.0003457			
ENSG00000007968	E2F2	liver cancer	0.0	0.0	3.0	7.0				6.432e-06
ENSG00000008018	PSMB1	liver cancer	8.0	4.0	0.0	0.0				0.02363
ENSG00000008056	SYN1	liver cancer	0.0	0.0	0.0	10.0				0.1628
ENSG00000008083	JARID2	liver cancer	0.0	9.0	2.0	0.0				0.004873
ENSG00000008086	CDKL5	liver cancer	0.0	4.0	2.0	4.0				0.01723
ENSG00000008128	CDK11A	liver cancer	3.0	3.0	6.0	0.0				0.002248
ENSG00000008130	NADK	liver cancer	1.0	2.0	4.0	5.0		0.3316		
ENSG00000008226	DLEC1	liver cancer	0.0	0.0	0.0	11.0		0.002504		
ENSG00000008256	CYTH3	liver cancer	0.0	0.0	3.0	9.0				0.02324
ENSG00000008282	SYPL1	liver cancer	1.0	7.0	0.0	0.0				0.08737
ENSG00000008283	CYB561	liver cancer	0.0	0.0	1.0	10.0				0.01368
ENSG00000008294	SPAG9	liver cancer	0.0	4.0	0.0	8.0				0.08128
ENSG00000008300	CELSR3	liver cancer	0.0	8.0	1.0	2.0				3.61e-06
ENSG00000008311	AASS	liver cancer	0.0	5.0	2.0	5.0	0.0009812			
ENSG00000008323	PLEKHG6	liver cancer	0.0	0.0	2.0	9.0		0.1304		
